is(www.w3.org/2000/01/-schema#,AnnotationProperty):1.0
is(string,Datatype):1.0
is(HP_0000021,Class):1.0
SubClassOf(HP_0000021,HP_0010955):1.0
is(HP_0000022,Class):1.0
SubClassOf(HP_0000022,HP_0010461):1.0
is(HP_0000025,Class):1.0
is(HP_0000032,Class):1.0
SubClassOf(HP_0000032,HP_0010461):1.0
is(HP_0000035,Class):1.0
is(HP_0000036,Class):1.0
is(HP_0000052,Class):1.0
SubClassOf(HP_0000052,HP_0000068):1.0
is(HP_0000068,Class):1.0
is(HP_0000080,Class):1.0
is(HP_0000095,Class):1.0
is(HP_0000098,Class):1.0
is(HP_0000140,Class):1.0
is(HP_0000141,Class):1.0
SubClassOf(HP_0000141,HP_0000140):1.0
is(HP_0000142,Class):1.0
is(HP_0000144,Class):1.0
SubClassOf(HP_0000144,HP_0000080):1.0
is(HP_0000154,Class):1.0
SubClassOf(HP_0000154,HP_0011337):1.0
is(HP_0000160,Class):1.0
SubClassOf(HP_0000160,HP_0011337):1.0
is(HP_0000163,Class):1.0
is(HP_0000169,Class):1.0
SubClassOf(HP_0000169,HP_0010614):1.0
is(HP_0000174,Class):1.0
SubClassOf(HP_0000174,HP_0000163):1.0
is(HP_0000175,Class):1.0
SubClassOf(HP_0000175,HP_0000174):1.0
is(HP_0000189,Class):1.0
SubClassOf(HP_0000189,HP_0000174):1.0
is(HP_0000197,Class):1.0
SubClassOf(HP_0000197,HP_0010286):1.0
is(HP_0000204,Class):1.0
is(HP_0000218,Class):1.0
SubClassOf(HP_0000218,HP_0000174):1.0
is(HP_0000286,Class):1.0
is(HP_0000288,Class):1.0
is(HP_0000314,Class):1.0
is(HP_0000325,Class):1.0
SubClassOf(HP_0000325,HP_0001999):1.0
is(HP_0000359,Class):1.0
is(HP_0000375,Class):1.0
SubClassOf(HP_0000375,HP_0011390):1.0
is(HP_0000377,Class):1.0
is(HP_0000391,Class):1.0
SubClassOf(HP_0000391,HP_0011039):1.0
is(HP_0000407,Class):1.0
SubClassOf(HP_0000407,HP_0011389):1.0
is(HP_0000429,Class):1.0
is(HP_0000436,Class):1.0
is(HP_0000479,Class):1.0
is(HP_0000481,Class):1.0
SubClassOf(HP_0000481,HP_0004328):1.0
is(HP_0000496,Class):1.0
is(HP_0000497,Class):1.0
SubClassOf(HP_0000497,HP_0011347):1.0
is(HP_0000517,Class):1.0
SubClassOf(HP_0000517,HP_0004328):1.0
is(HP_0000525,Class):1.0
SubClassOf(HP_0000525,HP_0004328):1.0
is(HP_0000532,Class):1.0
SubClassOf(HP_0000532,HP_0000479,):1.0
SubClassOf(HP_0000532,HP_0000610):1.0
is(HP_0000544,Class):1.0
SubClassOf(HP_0000544,HP_0000602):1.0
is(HP_0000545,Class):1.0
is(HP_0000567,Class):1.0
SubClassOf(HP_0000567,HP_0000532):1.0
is(HP_0000573,Class):1.0
is(HP_0000580,Class):1.0
SubClassOf(HP_0000580,HP_0007703):1.0
is(HP_0000587,Class):1.0
is(HP_0000590,Class):1.0
SubClassOf(HP_0000590,HP_0000544):1.0
is(HP_0000593,Class):1.0
SubClassOf(HP_0000593,HP_0004328):1.0
is(HP_0000602,Class):1.0
is(HP_0000610,Class):1.0
is(HP_0000614,Class):1.0
is(HP_0000616,Class):1.0
SubClassOf(HP_0000616,HP_0007686):1.0
is(HP_0000634,Class):1.0
SubClassOf(HP_0000634,HP_0011347):1.0
is(HP_0000639,Class):1.0
is(HP_0000708,Class):1.0
SubClassOf(HP_0000708,HP_0011446):1.0
is(HP_0000712,Class):1.0
SubClassOf(HP_0000712,HP_0031466):1.0
