is(id,ObjectProperty):1.0
is(ID,DataProperty):1.0
is(algorithm,DataProperty):1.0
is(bound_moiety,DataProperty):1.0
is(cc_domain,DataProperty):1.0
is(cleavage,DataProperty):1.0
is(coord,DataProperty):1.0
is(description,DataProperty):1.0
is(ft_domain,DataProperty):1.0
is(motif,DataProperty):1.0
is(ncRNA_class,DataProperty):1.0
is(old_locus_tag,DataProperty):1.0
is(ortholog,DataProperty):1.0
is(pathway,DataProperty):1.0
is(primary_name,DataProperty):1.0
is(pseudo,DataProperty):1.0
is(regulatory_class,DataProperty):1.0
is(signal,DataProperty):1.0
is(Feature,Class):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(www.w3.org/2002/07/#,Class):1.0
