soft_is(double,Datatype)
soft_is(BFO_0000053,ObjectProperty)
soft_is(BFO_0000071,ObjectProperty)
soft_is(IAO_0000039,ObjectProperty)
soft_is(RO_0001022,ObjectProperty)
soft_is(RO_0004026,ObjectProperty)
soft_is(so#,ObjectProperty)
soft_is(www.obofoundry.org/ro/ro.#,ObjectProperty)
soft_is(OBI_0001937,DataProperty)
soft_is(BFO_0000016,Class)
soft_is(BFO_0000023,Class)
soft_is(BFO_0000040,Class)
soft_is(CHEBI_10023,Class)
soft_is(CHEBI_100241,Class)
soft_is(CHEBI_10082,Class)
soft_is(CHEBI_10102,Class)
soft_is(CHEBI_10110,Class)
soft_is(CHEBI_10119,Class)
soft_is(CHEBI_10124,Class)
soft_is(CHEBI_10125,Class)
soft_is(CHEBI_10127,Class)
soft_is(CHEBI_101278,Class)
soft_is(CHEBI_102166,Class)
soft_is(CHEBI_102216,Class)
soft_is(CHEBI_102265,Class)
soft_is(CHEBI_102484,Class)
soft_is(CHEBI_102516,Class)
soft_is(CHEBI_102524,Class)
soft_is(CHEBI_104011,Class)
soft_is(CHEBI_10607,Class)
soft_is(CHEBI_10650,Class)
soft_is(CHEBI_107736,Class)
soft_is(CHEBI_111762,Class)
soft_is(CHEBI_114786,Class)
soft_is(CHEBI_116735,Class)
soft_is(CHEBI_119915,Class)
soft_is(CHEBI_124991,Class)
soft_is(CHEBI_125,Class)
soft_is(CHEBI_125354,Class)
soft_is(CHEBI_12777,Class)
soft_is(CHEBI_127780,Class)
soft_is(CHEBI_131389,Class)
soft_is(CHEBI_131527,Class)
soft_is(CHEBI_131730,Class)
soft_is(CHEBI_131762,Class)
soft_is(CHEBI_132106,Class)
soft_is(CHEBI_132153,Class)
soft_is(CHEBI_132767,Class)
soft_is(CHEBI_132943,Class)
soft_is(CHEBI_133009,Class)
soft_is(CHEBI_133013,Class)
soft_is(CHEBI_133326,Class)
soft_is(CHEBI_133354,Class)
soft_is(CHEBI_134719,Class)
soft_is(CHEBI_134756,Class)
soft_is(CHEBI_134761,Class)
soft_is(CHEBI_134783,Class)
soft_is(CHEBI_134798,Class)
soft_is(CHEBI_134806,Class)
soft_is(CHEBI_134813,Class)
soft_is(CHEBI_134821,Class)
soft_is(CHEBI_134841,Class)
soft_is(CHEBI_134855,Class)
soft_is(CHEBI_134875,Class)
soft_is(CHEBI_134884,Class)
soft_is(CHEBI_134893,Class)
soft_is(CHEBI_134929,Class)
soft_is(CHEBI_134934,Class)
soft_is(CHEBI_134972,Class)
soft_is(CHEBI_135010,Class)
soft_is(CHEBI_135032,Class)
soft_is(CHEBI_135047,Class)
soft_is(CHEBI_135062,Class)
soft_is(CHEBI_135086,Class)
soft_is(CHEBI_135095,Class)
soft_is(CHEBI_135122,Class)
soft_is(CHEBI_135132,Class)
soft_is(CHEBI_135169,Class)
soft_is(CHEBI_135182,Class)
soft_is(CHEBI_135198,Class)
soft_is(CHEBI_135222,Class)
soft_is(CHEBI_135276,Class)
soft_is(CHEBI_135312,Class)
soft_is(CHEBI_135351,Class)
soft_is(CHEBI_135358,Class)
soft_is(CHEBI_135361,Class)
soft_is(CHEBI_135363,Class)
soft_is(CHEBI_135367,Class)
soft_is(CHEBI_135372,Class)
soft_is(CHEBI_135385,Class)
soft_is(CHEBI_135398,Class)
soft_is(CHEBI_135402,Class)
soft_is(CHEBI_135418,Class)
soft_is(CHEBI_135423,Class)
soft_is(CHEBI_135424,Class)
soft_is(CHEBI_135433,Class)
soft_is(CHEBI_135480,Class)
soft_is(CHEBI_135483,Class)
soft_is(CHEBI_135492,Class)
soft_is(CHEBI_135499,Class)
soft_is(CHEBI_135515,Class)
soft_is(CHEBI_135523,Class)
soft_is(CHEBI_135534,Class)
soft_is(CHEBI_135538,Class)
soft_is(CHEBI_135552,Class)
soft_is(CHEBI_135556,Class)
soft_is(CHEBI_135581,Class)
soft_is(CHEBI_135590,Class)
soft_is(CHEBI_135601,Class)
soft_is(CHEBI_135605,Class)
soft_is(CHEBI_135611,Class)
soft_is(CHEBI_135613,Class)
soft_is(CHEBI_135619,Class)
soft_is(CHEBI_135626,Class)
soft_is(CHEBI_135635,Class)
soft_is(CHEBI_135640,Class)
soft_is(CHEBI_135652,Class)
soft_is(CHEBI_135679,Class)
soft_is(CHEBI_135685,Class)
soft_is(CHEBI_135726,Class)
soft_is(CHEBI_135738,Class)
soft_is(CHEBI_135787,Class)
soft_is(CHEBI_135791,Class)
soft_is(CHEBI_135901,Class)
soft_is(CHEBI_135905,Class)
soft_is(CHEBI_135907,Class)
soft_is(CHEBI_135910,Class)
soft_is(CHEBI_135913,Class)
soft_is(CHEBI_135919,Class)
soft_is(CHEBI_135922,Class)
soft_is(CHEBI_135928,Class)
soft_is(CHEBI_135933,Class)
soft_is(CHEBI_135934,Class)
soft_is(CHEBI_135935,Class)
soft_is(CHEBI_135939,Class)
soft_is(CHEBI_135946,Class)
soft_is(CHEBI_135949,Class)
