string is Datatype
data_input is ObjectProperty
data_input Domain Resource_Description
data_input Range Data_Resource
data_output is ObjectProperty
data_output Domain Resource_Description
data_output Range Data_Resource
related_activities is ObjectProperty
related_activities Domain Resource_Description
related_activities Range Activity or Deprecated_Activity
related_areas_of_research is ObjectProperty
related_areas_of_research Domain Resource_Description
related_areas_of_research Range Area_of_Research
related_resource is ObjectProperty
related_resource Domain Resource_Description
related_resource Range Resource_Description
resource_type is ObjectProperty
resource_type Domain Resource_Description
resource_type Range Resource
version_information is ObjectProperty
version_information Domain Resource_Description
version_information Range Version_Information
PeerReviewStatus is DataProperty
PeerReviewStatus Domain Publication
URL is DataProperty
URL Domain Resource_Description
URL Range string
biositemap_author is DataProperty
biositemap_author Domain Resource_Description
biositemap_author Range string
center is DataProperty
center Domain Resource_Description
center Range string
contact_person is DataProperty
contact_person Domain Resource_Description
contact_person Range string
contact_person_email is DataProperty
contact_person_email Domain Resource_Description
contact_person_phone is DataProperty
contact_person_phone Domain Resource_Description
contact_person_phone Range string
description is DataProperty
description Domain Resource_Description
description Range string
development_stage is DataProperty
development_stage Domain Version_Information
development_stage Range string
documentation_available is DataProperty
documentation_available Characteristics Functional
documentation_available Domain Resource_Description
documentation_available Range string
keywords is DataProperty
keywords Domain Resource_Description
keywords Range string
language is DataProperty
language Domain Resource_Description
language Range string
license is DataProperty
license Domain Resource_Description
license Range string
organization is DataProperty
organization Domain Resource_Description
organization Range string
platforms is DataProperty
platforms Domain Resource_Description
platforms Range string
release_date is DataProperty
release_date Domain Version_Information
research_program is DataProperty
research_program Domain Resource_Description
research_program Range string
resource_name is DataProperty
resource_name Domain Resource_Description
resource_name Range string
resource_sharable is DataProperty
resource_sharable Characteristics Functional
resource_sharable Domain Resource_Description
resource_sharable Range string
technical_support is DataProperty
technical_support Domain Resource_Description
technical_support Range string
version is DataProperty
version Domain Version_Information
version Range string
Activity is Class
Deprecated_Activity is Class
Aggregate_Human_Data is Class
Aggregate_Human_Data SubClassOf Clinical_Care_Data
Authentication is Class
Authentication SubClassOf Identity_Management
Authorization is Class
Authorization SubClassOf Identity_Management
Averaging_and_Aglomeration is Class
Averaging_and_Aglomeration SubClassOf Deprecated_Resource
Calculation_of_Solvent_Accessible_Area is Class
Calculation_of_Solvent_Accessible_Area SubClassOf Molecular_Modeling_and_Classification
Clinical_Care_Data is Class
Computational_Geometry is Class
Computational_Model is Class
Continuum_Method_Simulation is Class
Continuum_Method_Simulation SubClassOf Mechanical_Simulation
Cross-Sectional_Viewer is Class
Cross-Sectional_Viewer SubClassOf Imaging
Data_Distribution is Class
Data_Distribution SubClassOf Deprecated_Resource
Data_Resource is Class
Data_Resource SubClassOf Information_Resource
Data_Transform is Class
Data_Transform SubClassOf Pre-Processing
Data_Transforms is Class
Data_Transforms SubClassOf Deprecated_Resource
Database is Class
Delimited_Table is Class
Delimited_Table SubClassOf Structured_File
Deprecated_Resource is Class
Dynamic_Model is Class
Dynamic_Model SubClassOf Computational_Model
Flatfile_Distribution is Class
Flatfile_Distribution SubClassOf Structured_File
Four_Dimensional_Data is Class
Four_Dimensional_Data SubClassOf Deprecated_Resource
Fourier_Transform is Class
Fourier_Transform SubClassOf Spectral_Transform
Gene_Expression is Class
Gene_Expression SubClassOf Molecular_and_Cellular_Data
High_Dimensional_Data is Class
High_Dimensional_Data SubClassOf Deprecated_Resource
Homology_Modeling is Class
Homology_Modeling SubClassOf Molecular_Modeling_and_Classification
Identity_Management is Class
Image is Class
Imaging is Class
Individual_Human_Data is Class
Individual_Human_Data SubClassOf Clinical_Care_Data
Information_Resource is Class
Information_Resource SubClassOf Resource
Inhomogeneity_Correction is Class
Inhomogeneity_Correction SubClassOf Pre-Processing
Integration_and_Interoperability_Tools is Class
Integration_and_Interoperability_Tools SubClassOf Deprecated_Resource
Interaction_Network is Class
Interaction_Network SubClassOf Network_Model
Knedge_Extraction is Class
Knedge_Extraction SubClassOf Text_Mining
License_and_Terms_for_Redistribution is Class
License_and_Terms_for_Redistribution SubClassOf Deprecated_Resource
Mechanical_Simulation is Class
Meshing is Class
Meshing SubClassOf Mechanical_Simulation
Molecular_Dynamics is Class
Molecular_Dynamics SubClassOf Molecular_Modeling_and_Classification
Molecular_Force_Field_Calculator is Class
Molecular_Force_Field_Calculator SubClassOf Mechanical_Simulation
Molecular_Interaction is Class
Molecular_Interaction SubClassOf Molecular_and_Cellular_Data
Molecular_Model is Class
Molecular_Modeling_and_Classification is Class
Molecular_Modeling_and_Classification SubClassOf Molecular_Model
Molecular_Visualization is Class
Molecular_Visualization SubClassOf Molecular_Modeling_and_Classification
Molecular_and_Cellular_Data is Class
Named_Entity_Normalization is Class
Named_Entity_Normalization SubClassOf Parsing
Named_Entity_Recognition is Class
Named_Entity_Recognition SubClassOf Parsing
Narrative_Resource is Class
Narrative_Resource SubClassOf Information_Resource
Network_Model is Class
Network_Model SubClassOf Computational_Model
Numerical_Calculation_of_Electrostatic_Potential is Class
Numerical_Calculation_of_Electrostatic_Potential SubClassOf Molecular_Modeling_and_Classification
Object_Database is Class
Object_Database SubClassOf Database
Parsing is Class
Pattern_Recognition is Class
Pattern_Recognition SubClassOf Computational_Geometry
Phenotypic_Measurement is Class
Phenotypic_Measurement SubClassOf Molecular_and_Cellular_Data
Portal is Class
Portal SubClassOf Information_Resource
Pre-Processing is Class
Prediction_of_Side-Chain_Conformations is Class
Prediction_of_Side-Chain_Conformations SubClassOf Molecular_Modeling_and_Classification
Protein-Protein_Interaction is Class
Protein-Protein_Interaction SubClassOf Interaction_Network
Protein_Expression is Class
Protein_Expression SubClassOf Molecular_and_Cellular_Data
Publication is Class
Publication SubClassOf Deprecated_Resource
RDF_Data is Class
RDF_Data SubClassOf Structured_File
Relational_Database is Class
Relational_Database SubClassOf Database
Resource is Class
Semi-Structured_Knedge_Resource is Class
Semi-Structured_Knedge_Resource SubClassOf Information_Resource
Spectral_Transform is Class
Spectral_Transform SubClassOf Data_Transform
Standalone_Application is Class
Standalone_Application SubClassOf Deprecated_Resource
Statistical_Text_Analysis is Class
Statistical_Text_Analysis SubClassOf Text_Mining
Structure-Based_Protein_Classification is Class
Structure-Based_Protein_Classification SubClassOf Molecular_Modeling_and_Classification
Structured_File is Class
Structured_Knedge_Resource is Class
Structured_Knedge_Resource SubClassOf Information_Resource
Summarization is Class
Summarization SubClassOf Deprecated_Resource
Text_Mining is Class
Three_D_Image is Class
Three_D_Image SubClassOf Image
Two_D_Image is Class
Two_D_Image SubClassOf Image
Unstructured_Knedge_Resource is Class
