R(BFO_0000050,is,ObjectProperty)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(all_pathways_and_groups,is,<agi-folder)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(all_pathways_and_groups,is,<agi-folder)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(index,is,<agi-folder)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(index,is,<agi-folder)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(all_pathways_and_groups,is,<agi-folder)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(all_pathways_and_groups,is,<agi-folder)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(all_pathways_and_groups,is,<agi-folder)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
