R(int,is,Datatype)
R(www.-ontologies.com/OntologyXCT.#,is,ObjectProperty)
R(Therapy,is,www.-ontologies.com/OntologyXCT.#)
R(PharmaceuticalBiologicProduct,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,DataProperty)
R(AgeatDeath,is,www.-ontologies.com/OntologyXCT.#)
R(AgeatDeath,Range,int)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(AbnormalityoftheFace,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(AbnormalityoftheFace,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(AbnormalityofFacialSoftTissue,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(AbnormalityoftheFace,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(AbnormalityoftheLip,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(AbnormalityoftheOcularRegion,,is,www.-ontologies.com/OntologyXCT.#)
R(AbnormalityofthePeriorbitalRegion,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(AbnormalityoftheHead,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(AbnormalityoftheLowerLimb,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(AbnormalityoftheHand,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(AbnormalityoftheBiliarySystem,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(AbnormalityoftheOralCavity,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(AbnormalityoftheUpperLimb,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(AbnormalityofHeadandNeck,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(AbnormalityoftheMouth,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(AbnormalityofLimbBoneMorphology,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(AbnormalityoftheFace,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(AbnormalityoftheFace,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(AbnormalityoftheMouth,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(AbnormalityoftheOralCavity,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(AbnormalityoftheFace,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(AbnormalityoftheOralCavity,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(AbnormalityofLimbBoneMorphology,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(FamilyHistoryofClinicalFinding,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(SparseorAbsentHair,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(CoronaryArteryDisease,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(SalicylateProduct,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(Arteriosclerosis,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(ChronicDiarrhea,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(AbnormalityoftheGallbladder,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(OralCleft,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(AbnormalFacialShape,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(Atherosclerosis,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(NodularChangesAffectingtheEyelids,,is,www.-ontologies.com/OntologyXCT.#)
R(SkinCysts,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(AbnormalFacialExpression,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(UpperExtremityPart,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(MuscleStructureofFoot,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(PharmaceuticalBiologicProduct,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(ExternalStructureOfEyeRegion,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(SituationwithExplicitContext,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(AbnormalityoftheGingiva,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(EnzymeInhibitor,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(RegionofLowerExtremity,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(Kyphosis,,is,www.-ontologies.com/OntologyXCT.#)
R(Scoliosis,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(DecreasedFacialExpression,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(DiagnosticStudies,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(SkeletalMuscleStructureofLowerLimb,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(DecreasedFacialExpression,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(AbnormalityoftheKidney,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(AbnormalityoftheMouth,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(MonitoringofPatient,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(AbnormalityoftheMouth,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(FindingofSerumCholesterolLevel,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(QualifierValueandObservable,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(MRIofBrain,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(Thing,is,www.w3.org/2002/07/#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(UpperLimbStructure,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(www.-ontologies.com/OntologyXCT.#,is,Class)
R(CystsoftheEyelid,is,www.-ontologies.com/OntologyXCT.#)
R(www.w3.org/2002/07/#,is,Class)
R(www.-ontologies.com/OntologyXCT.#,is,Individual)
R(ChildhoodOnsetChronicDiarrhea,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Individual)
R(AgeatDeath,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Individual)
R(AgeatDeath,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Individual)
R(AgeatDeath,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Individual)
R(AgeatDeath,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Individual)
R(AgeatDeath,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Individual)
R(AgeatDeath,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Individual)
R(Aspirin,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Individual)
R(AbnormalFacialShape,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Individual)
R(Alopecia,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Individual)
R(AnginaPectoris,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Individual)
R(ChildhoodOnsetChronicDiarrhea,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Individual)
R(CoarseFacies,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Individual)
R(GingivalOvergrowth,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Individual)
R(Kyphoscoliosis,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Individual)
R(Nephrolithiasis,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Individual)
R(SerumCholesterolRaised,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Individual)
R(T2weightedMRIofBrain,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Individual)
R(Therapy,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Individual)
R(Eyelid,is,www.-ontologies.com/OntologyXCT.#)
R(www.-ontologies.com/OntologyXCT.#,is,Individual)
R(KneeRegion,is,www.-ontologies.com/OntologyXCT.#)
