R(datetime,is,Datatype)
R(analyticalTechnique,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
R(analyticalTechnique/,is,Individual)
