R(date,is,Datatype)
R(purl.org/NET/c4dm/keys.#,is,Class)
R(Thing,is,www.w3.org/2002/07/#)
R(www.w3.org/2002/07/#,is,Class)
R(a,is,Individual)
R(Key,is,purl.org/NET/c4dm/keys.#)
R(AMajor,is,purl.org/NET/c4dm/keys.#)
R(ab,is,Individual)
R(Key,is,purl.org/NET/c4dm/keys.#)
R(AFlatMajor,is,purl.org/NET/c4dm/keys.#)
R(abm,is,Individual)
R(Key,is,purl.org/NET/c4dm/keys.#)
R(AFlatMinor,is,purl.org/NET/c4dm/keys.#)
R(am,is,Individual)
R(Key,is,purl.org/NET/c4dm/keys.#)
R(AMinor,is,purl.org/NET/c4dm/keys.#)
R(axm,is,Individual)
R(Key,is,purl.org/NET/c4dm/keys.#)
R(ASharpMinor,is,purl.org/NET/c4dm/keys.#)
R(b,is,Individual)
R(Key,is,purl.org/NET/c4dm/keys.#)
R(BMajor,is,purl.org/NET/c4dm/keys.#)
R(bb,is,Individual)
R(Key,is,purl.org/NET/c4dm/keys.#)
R(BFlatMajor,is,purl.org/NET/c4dm/keys.#)
R(bbm,is,Individual)
R(Key,is,purl.org/NET/c4dm/keys.#)
R(BFlatMinor,is,purl.org/NET/c4dm/keys.#)
R(bm,is,Individual)
R(Key,is,purl.org/NET/c4dm/keys.#)
R(BMinor,is,purl.org/NET/c4dm/keys.#)
R(c,is,Individual)
R(Key,is,purl.org/NET/c4dm/keys.#)
R(CMajor,is,purl.org/NET/c4dm/keys.#)
R(cb,is,Individual)
R(Key,is,purl.org/NET/c4dm/keys.#)
R(CFlatMajor,is,purl.org/NET/c4dm/keys.#)
R(cm,is,Individual)
R(Key,is,purl.org/NET/c4dm/keys.#)
R(CMinor,is,purl.org/NET/c4dm/keys.#)
R(cx,is,Individual)
R(Key,is,purl.org/NET/c4dm/keys.#)
R(CSharpMajor,is,purl.org/NET/c4dm/keys.#)
R(cxm,is,Individual)
R(Key,is,purl.org/NET/c4dm/keys.#)
R(CSharpMinor,is,purl.org/NET/c4dm/keys.#)
R(d,is,Individual)
R(Key,is,purl.org/NET/c4dm/keys.#)
R(DMajor,is,purl.org/NET/c4dm/keys.#)
R(db,is,Individual)
R(Key,is,purl.org/NET/c4dm/keys.#)
R(DFlatMajor,is,purl.org/NET/c4dm/keys.#)
R(dm,is,Individual)
R(Key,is,purl.org/NET/c4dm/keys.#)
R(DMinor,is,purl.org/NET/c4dm/keys.#)
R(dxm,is,Individual)
R(Key,is,purl.org/NET/c4dm/keys.#)
R(DSharpMinor,is,purl.org/NET/c4dm/keys.#)
R(e,is,Individual)
R(Key,is,purl.org/NET/c4dm/keys.#)
R(EMajor,is,purl.org/NET/c4dm/keys.#)
R(eb,is,Individual)
R(Key,is,purl.org/NET/c4dm/keys.#)
R(EFlatMajor,is,purl.org/NET/c4dm/keys.#)
R(ebm,is,Individual)
R(Key,is,purl.org/NET/c4dm/keys.#)
R(EFlatMinor,is,purl.org/NET/c4dm/keys.#)
R(em,is,Individual)
R(Key,is,purl.org/NET/c4dm/keys.#)
R(EMinor,is,purl.org/NET/c4dm/keys.#)
R(f,is,Individual)
R(Key,is,purl.org/NET/c4dm/keys.#)
R(FMajor,is,purl.org/NET/c4dm/keys.#)
R(fm,is,Individual)
R(Key,is,purl.org/NET/c4dm/keys.#)
R(FMinor,is,purl.org/NET/c4dm/keys.#)
R(fx,is,Individual)
R(Key,is,purl.org/NET/c4dm/keys.#)
R(FSharpMajor,is,purl.org/NET/c4dm/keys.#)
R(fxm,is,Individual)
R(Key,is,purl.org/NET/c4dm/keys.#)
R(g,is,Individual)
R(Key,is,purl.org/NET/c4dm/keys.#)
R(GMajor,is,purl.org/NET/c4dm/keys.#)
R(gb,is,Individual)
R(Key,is,purl.org/NET/c4dm/keys.#)
R(GFlatMajor,is,purl.org/NET/c4dm/keys.#)
R(gm,is,Individual)
R(Key,is,purl.org/NET/c4dm/keys.#)
R(GMinor,is,purl.org/NET/c4dm/keys.#)
R(gxm,is,Individual)
R(Key,is,purl.org/NET/c4dm/keys.#)
R(GSharpMinor,is,purl.org/NET/c4dm/keys.#)
R(purl.org/NET/c4dm/keys.#,is,Individual)
R(purl.org/NET/c4dm/keys.#,SameAs,ab)
R(purl.org/NET/c4dm/keys.#,is,Individual)
R(purl.org/NET/c4dm/keys.#,SameAs,abm)
R(purl.org/NET/c4dm/keys.#,is,Individual)
R(purl.org/NET/c4dm/keys.#,SameAs,a)
R(purl.org/NET/c4dm/keys.#,is,Individual)
R(purl.org/NET/c4dm/keys.#,SameAs,am)
R(purl.org/NET/c4dm/keys.#,is,Individual)
R(purl.org/NET/c4dm/keys.#,SameAs,axm)
R(purl.org/NET/c4dm/keys.#,is,Individual)
R(purl.org/NET/c4dm/keys.#,SameAs,bb)
R(purl.org/NET/c4dm/keys.#,is,Individual)
R(purl.org/NET/c4dm/keys.#,SameAs,bbm)
R(purl.org/NET/c4dm/keys.#,is,Individual)
R(purl.org/NET/c4dm/keys.#,SameAs,b)
R(purl.org/NET/c4dm/keys.#,is,Individual)
R(purl.org/NET/c4dm/keys.#,SameAs,bm)
R(purl.org/NET/c4dm/keys.#,is,Individual)
R(purl.org/NET/c4dm/keys.#,SameAs,cb)
R(purl.org/NET/c4dm/keys.#,is,Individual)
R(purl.org/NET/c4dm/keys.#,SameAs,c)
R(purl.org/NET/c4dm/keys.#,is,Individual)
R(purl.org/NET/c4dm/keys.#,SameAs,cm)
R(purl.org/NET/c4dm/keys.#,is,Individual)
R(purl.org/NET/c4dm/keys.#,SameAs,cx)
R(purl.org/NET/c4dm/keys.#,is,Individual)
R(purl.org/NET/c4dm/keys.#,SameAs,cxm)
R(purl.org/NET/c4dm/keys.#,is,Individual)
R(purl.org/NET/c4dm/keys.#,SameAs,db)
R(purl.org/NET/c4dm/keys.#,is,Individual)
R(purl.org/NET/c4dm/keys.#,SameAs,d)
R(purl.org/NET/c4dm/keys.#,is,Individual)
R(purl.org/NET/c4dm/keys.#,SameAs,dm)
R(purl.org/NET/c4dm/keys.#,is,Individual)
R(purl.org/NET/c4dm/keys.#,SameAs,dxm)
R(purl.org/NET/c4dm/keys.#,is,Individual)
R(purl.org/NET/c4dm/keys.#,SameAs,eb)
R(purl.org/NET/c4dm/keys.#,is,Individual)
R(purl.org/NET/c4dm/keys.#,SameAs,ebm)
