R(AssociatedWith,is,ObjectProperty)
R(AcuteLymphoblasticLeukemia,is,Class)
R(AcuteLymphoblasticLeukemia,SubClassOf,LymphoidLeukemia)
R(AcuteMyeloidLeukemia,is,Class)
R(AcuteMyeloidLeukemia,SubClassOf,MyeloidLeukemia)
R(Adenocarcinoma,is,Class)
R(Adenocarcinoma,SubClassOf,Carcinoma)
R(Adenoma,is,Class)
R(Adenoma,SubClassOf,EpithelialNeoplasm)
R(AdenosquamousCarcinoma,is,Class)
R(AdenosquamousCarcinoma,SubClassOf,ComplexAndMixedNeoplasm)
R(AdiposeTissueNeoplasm,is,Class)
R(AdiposeTissueNeoplasm,SubClassOf,ConnectiveAndSoftTissueNeoplasm)
R(AdiposeTissueNeoplasm,DisjointWith,ConnectiveTissueNeoplasm)
R(AdrenalCortexNeoplasm,is,Class)
R(AdrenalCortexNeoplasm,SubClassOf,AdrenalGlandNeoplasm)
R(AdrenalGlandNeoplasm,is,Class)
R(AdrenalGlandNeoplasm,SubClassOf,EndocrineGlandNeoplasm)
R(Agammaglobulinemia,is,Class)
R(Agammaglobulinemia,SubClassOf,BloodProteinDisorder)
R(AnaplasticThyroidCarcinoma,is,Class)
R(AnaplasticThyroidCarcinoma,SubClassOf,ThyroidNeoplasm)
R(Angiomyolipoma,is,Class)
R(Angiomyolipoma,SubClassOf,AdiposeTissueNeoplasm)
R(Ascites,is,Class)
R(Ascites,SubClassOf,PathologicProcess)
R(AzaserineInducedPancreaticNeoplasm,is,Class)
R(AzaserineInducedPancreaticNeoplasm,SubClassOf,ChemicalInducedNeoplasm)
R(B-CellLymphocyticLeukemia,is,Class)
R(B-CellLymphocyticLeukemia,SubClassOf,LymphoidLeukemia)
R(BarrettEsophagus,is,Class)
R(BarrettEsophagus,SubClassOf,EsophagealDisease)
R(BasophilicLeukemia,is,Class)
R(BasophilicLeukemia,SubClassOf,MyeloidLeukemia)
R(BileDuctNeoplasm,is,Class)
R(BileDuctNeoplasm,SubClassOf,BiliaryTractNeoplasm)
R(BiliaryTractNeoplasm,is,Class)
R(BiliaryTractNeoplasm,SubClassOf,DigestiveSystemNeoplasm)
R(BloodPlateletDisorders,is,Class)
R(BloodPlateletDisorders,SubClassOf,HematologicDisease)
R(BloodProteinDisorder,is,Class)
R(BloodProteinDisorder,SubClassOf,HematologicDisease)
R(BloomSyndrome,is,Class)
R(BloomSyndrome,SubClassOf,MultipleAbnormalities)
R(BoneMarrowDiseases,is,Class)
R(BoneMarrowDiseases,SubClassOf,HematologicDisease)
R(BoneNeoplasm,is,Class)
R(BoneNeoplasm,SubClassOf,Neoplasm)
R(BoneTissueNeoplasm,is,Class)
R(BoneTissueNeoplasm,SubClassOf,ConnectiveTissueNeoplasm)
R(BrainNeoplasm,is,Class)
R(BrainNeoplasm,SubClassOf,CentralNervousSystemNeoplasm)
R(BreastDiseases,is,Class)
R(BreastDiseases,SubClassOf,PathologicalCondition)
R(BreastFibrocysticDisease,is,Class)
R(BreastFibrocysticDisease,SubClassOf,BreastDiseases)
R(BreastNeoplasm,is,Class)
R(BreastNeoplasm,SubClassOf,Neoplasm)
R(Carcinoma,is,Class)
R(Carcinoma,SubClassOf,EpithelialNeoplasm)
R(CentralNervousSystemNeoplasm,is,Class)
R(CentralNervousSystemNeoplasm,EquivalentTo,NervousTissueNeoplasm)
R(CentralNervousSystemNeoplasm,SubClassOf,NervousSystemNeoplasm)
R(CentralNervousSystemNeoplasm,DisjointWith,NervousTissueNeoplasm)
R(ChemicalInducedNeoplasm,is,Class)
R(ChemicalInducedNeoplasm,SubClassOf,ExperimentalNeoplasm)
R(Chondrosarcoma,is,Class)
R(Chondrosarcoma,SubClassOf,ConnectiveTissueNeoplasm)
R(Chordoma,is,Class)
R(Chordoma,SubClassOf,GermCellAndEmbryonicNeoplasm)
R(Choriocarcinoma,is,Class)
R(Choriocarcinoma,SubClassOf,TrophoblasticNeoplasm)
R(ComplexAndMixedNeoplasm,is,Class)
R(ComplexAndMixedNeoplasm,SubClassOf,Neoplasm)
R(CongenitalAbnormality,is,Class)
R(CongenitalAbnormality,SubClassOf,PathologicalCondition)
R(CongenitalHemolyticAnemia,is,Class)
R(CongenitalHemolyticAnemia,SubClassOf,InbornGeneticDisease)
R(CongenitalHypoplasticAnemia,is,Class)
R(CongenitalHypoplasticAnemia,SubClassOf,InbornGeneticDisease)
R(ConnectiveAndSoftTissueNeoplasm,is,Class)
R(ConnectiveAndSoftTissueNeoplasm,SubClassOf,Neoplasm)
R(ConnectiveTissueNeoplasm,is,Class)
R(ConnectiveTissueNeoplasm,SubClassOf,ConnectiveAndSoftTissueNeoplasm)
R(ConnectiveTissueNeoplasm,DisjointWith,AdiposeTissueNeoplasm)
R(CysticFibrosis,is,Class)
R(CysticFibrosis,SubClassOf,LungDisease)
R(DigestiveSystemDisease,is,Class)
R(DigestiveSystemDisease,SubClassOf,PathologicalCondition)
R(DigestiveSystemDisease,DisjointWith,Neoplasm)
R(DigestiveSystemNeoplasm,is,Class)
R(DigestiveSystemNeoplasm,SubClassOf,Neoplasm)
R(EmbryonalCarcinoma,is,Class)
R(EmbryonalCarcinoma,SubClassOf,GermCellAndEmbryonicNeoplasm)
R(EndocrineGlandNeoplasm,is,Class)
R(EndocrineGlandNeoplasm,SubClassOf,Neoplasm)
