R(www.obofoundry.org/ro/ro.#,is,ObjectProperty)
R(sao1231384859,is,Class)
R(sao1231384859,SubClassOf,sao-1337158144)
R(FMA_83604,is,Class)
R(FMA_83604,SubClassOf,nlx_subcell_20090505)
R(FMA_83605,is,Class)
R(FMA_83605,SubClassOf,nlx_subcell_20090505)
R(FMA_83606,is,Class)
R(FMA_83606,SubClassOf,nlx_subcell_20090505)
R(nlx_subcell_090801,is,Class)
R(nlx_subcell_090801,SubClassOf,sao120573470)
R(nlx_subcell_090802,is,Class)
R(nlx_subcell_090802,SubClassOf,sao120573470)
R(nlx_subcell_090901,is,Class)
R(nlx_subcell_090901,SubClassOf,sao120573470)
R(nlx_subcell_091021,is,Class)
R(nlx_subcell_091021,SubClassOf,sao914572699)
R(nlx_subcell_100203,is,Class)
R(nlx_subcell_100203,SubClassOf,sao508165343)
R(nlx_subcell_100205,is,Class)
R(nlx_subcell_100205,SubClassOf,sao508165343)
R(nlx_subcell_100209,is,Class)
R(nlx_subcell_100209,SubClassOf,sao508165343)
R(nlx_subcell_100210,is,Class)
R(nlx_subcell_100210,SubClassOf,sao508165343)
R(nlx_subcell_100315,is,Class)
R(nlx_subcell_100315,SubClassOf,MaterialEntity)
R(nlx_subcell_1005003,is,Class)
R(nlx_subcell_1005003,SubClassOf,sao-250931889)
R(nlx_subcell_20090101,is,Class)
R(nlx_subcell_20090101,SubClassOf,sao120573470)
R(nlx_subcell_20090102,is,Class)
R(nlx_subcell_20090102,SubClassOf,sao120573470)
R(nlx_subcell_20090103,is,Class)
R(nlx_subcell_20090103,SubClassOf,sao120573470)
R(nlx_subcell_20090104,is,Class)
R(nlx_subcell_20090104,SubClassOf,sao120573470)
R(nlx_subcell_20090105,is,Class)
R(nlx_subcell_20090105,SubClassOf,sao120573470)
R(nlx_subcell_20090201,is,Class)
R(nlx_subcell_20090201,SubClassOf,sao2409833926)
R(nlx_subcell_20090202,is,Class)
R(nlx_subcell_20090202,SubClassOf,sao2409833926)
R(nlx_subcell_20090202,DisjointWith,sao1770195789)
