R(hadUsage,is,ObjectProperty)
R(Children'sDepressionInventory,is,Class)
R(Children'sDepressionInventory,SubClassOf,DepressionRatingScale)
R(Montgomery–AsbergDepressionRatingScale,is,Class)
R(Montgomery–AsbergDepressionRatingScale,SubClassOf,DepressionRatingScale)
R(RevisedChildren'sManifestAnxietyScale,is,Class)
R(RevisedChildren'sManifestAnxietyScale,SubClassOf,AnxietyRatingScale)
R(Yale–BrownObsessive–CompulsiveScale,is,Class)
R(Yale–BrownObsessive–CompulsiveScale,SubClassOf,MentalStateAssessmentScale)
R(AbnormalInvoluntaryMovementScale,is,Class)
R(AbnormalInvoluntaryMovementScale,SubClassOf,ExtrapyramidalSymptomRating)
R(AddictionSeverityIndex,is,Class)
R(AddictionSeverityIndex,SubClassOf,SubstanceUseScale)
R(AffectiveProcessingScale,is,Class)
R(AffectiveProcessingScale,SubClassOf,RatingScale)
R(AlcoholCravingQuestionnaire,is,Class)
R(AlcoholCravingQuestionnaire,SubClassOf,SubstanceCravingScale)
R(AlcoholDependenceScale,is,Class)
R(AlcoholDependenceScale,SubClassOf,SubstanceDependenceScale)
R(AlcoholEffectsScale,is,Class)
R(AlcoholEffectsScale,SubClassOf,AlcoholUseScale)
R(AlcoholExpectancyQuestionnaire,is,Class)
R(AlcoholExpectancyQuestionnaire,SubClassOf,AlcoholUseScale)
R(AlcoholSmokingandSubstanceInvolvementScreeningTest,is,Class)
R(AlcoholSmokingandSubstanceInvolvementScreeningTest,SubClassOf,SubstanceUseScale)
R(AlcoholUrgeQuestionnaire,is,Class)
R(AlcoholUrgeQuestionnaire,SubClassOf,SubstanceCravingScale)
R(AlcoholUseDisordersIdentificationTest,is,Class)
R(AlcoholUseDisordersIdentificationTest,SubClassOf,AlcoholUseScale)
R(AlcoholUseQuestionnaire,is,Class)
R(AlcoholUseQuestionnaire,SubClassOf,AlcoholUseScale)
R(AlcoholUseScale,is,Class)
R(AlcoholUseScale,SubClassOf,SubstanceUseScale)
R(AltmanSelf-RatingManiaScale,is,Class)
R(AltmanSelf-RatingManiaScale,SubClassOf,PsychopathologyScale)
R(AnnettHandPreferenceQuestionnaire,is,Class)
R(AnnettHandPreferenceQuestionnaire,SubClassOf,HandednessQuestionnaire)
R(AnticipatoryandConsummatoryInterpersonalPleasureScale,is,Class)
R(AnticipatoryandConsummatoryInterpersonalPleasureScale,SubClassOf,SocialFunctionRatingScale)
R(AnxietyRatingScale,is,Class)
