www.w3.org/2000/01/-schema# is Datatype
s.org/sioc/ns# is ObjectProperty
Space is s.org/sioc/ns#
Usergroup is s.org/sioc/ns#
usergroup_of is s.org/sioc/ns#
s.org/sioc/ns# is ObjectProperty
space_of is s.org/sioc/ns#
s.org/sioc/ns# is ObjectProperty
Post is s.org/sioc/ns#
s.org/sioc/ns# is ObjectProperty
Space is s.org/sioc/ns#
s.org/sioc/ns# is ObjectProperty
has_usergroup is s.org/sioc/ns#
hasPrognosis is ObjectProperty
s.org/sioc/ns# is DataProperty
Post is s.org/sioc/ns#
Literal is www.w3.org/2000/01/-schema#
s.org/sioc/ns# is DataProperty
Post is s.org/sioc/ns#
Literal is www.w3.org/2000/01/-schema#
s.org/sioc/ns# is DataProperty
Post is s.org/sioc/ns#
Literal is www.w3.org/2000/01/-schema#
s.org/sioc/ns# is DataProperty
Post is s.org/sioc/ns#
Literal is www.w3.org/2000/01/-schema#
s.org/sioc/ns# is DataProperty
Post is s.org/sioc/ns#
Literal is www.w3.org/2000/01/-schema#
s.org/sioc/ns# is DataProperty
Post is s.org/sioc/ns#
Literal is www.w3.org/2000/01/-schema#
A00_B99 is Class
A00_B99 DisjointWith Z00_Z99
C00_D48 is Class
C00_D48 DisjointWith Z00_Z99
D50_D89 is Class
D50_D89 DisjointWith Z00_Z99
D53 is Class
D53_0 is Class
D53_0 DisjointWith D53_1
D53_1 is Class
D53_1 SubClassOf D53
D53_1 DisjointWith D53_9
D53_1 DisjointWith D53_8
D53_1 DisjointWith D53_2
D53_1 DisjointWith D53_0
D53_2 is Class
D53_2 DisjointWith D53_1
D53_8 is Class
D53_8 DisjointWith D53_1
D53_9 is Class
D53_9 DisjointWith D53_1
D61 is Class
D61_0 is Class
D61_0 DisjointWith D61_8
D61_1 is Class
D61_1 DisjointWith D61_8
D61_2 is Class
D61_2 DisjointWith D61_8
D61_3 is Class
D61_3 DisjointWith D61_8
D61_8 is Class
D61_8 SubClassOf D61
D61_8 DisjointWith D61_9
D61_8 DisjointWith D61_3
D61_8 DisjointWith D61_2
D61_8 DisjointWith D61_1
D61_8 DisjointWith D61_0
D61_9 is Class
D61_9 DisjointWith D61_8
D76 is Class
D76_0 is Class
D76_0 DisjointWith D76_1
D76_1 is Class
D76_1 SubClassOf D76
D76_1 DisjointWith D76_3
D76_1 DisjointWith D76_2
D76_1 DisjointWith D76_0
D76_2 is Class
D76_2 DisjointWith D76_1
D76_3 is Class
D76_3 DisjointWith D76_1
D84 is Class
D84_0 is Class
D84_0 SubClassOf D84
D84_0 DisjointWith D84_9
D84_0 DisjointWith D84_8
D84_0 DisjointWith D84_1
D84_1 is Class
D84_1 DisjointWith D84_0
D84_8 is Class
D84_8 DisjointWith D84_0
D84_9 is Class
D84_9 DisjointWith D84_0
D89 is Class
D89_0 is Class
D89_0 DisjointWith D89_2
D89_1 is Class
D89_1 DisjointWith D89_2
D89_2 is Class
D89_2 SubClassOf D89
D89_2 DisjointWith D89_9
D89_2 DisjointWith D89_8
D89_2 DisjointWith D89_1
D89_2 DisjointWith D89_0
D89_8 is Class
D89_8 DisjointWith D89_2
D89_9 is Class
D89_9 DisjointWith D89_2
E00_E90 is Class
E00_E90 DisjointWith Z00_Z99
F00_F99 is Class
F00_F99 DisjointWith Z00_Z99
G00_G99 is Class
G00_G99 DisjointWith Z00_Z99
H00_H59 is Class
H00_H59 DisjointWith Z00_Z99
H60 is Class
H60_0 is Class
H60_0 DisjointWith H60_3
