decimal is Datatype
belongsToSubject is ObjectProperty
belongsToSubject Characteristics Functional
belongsToSubject Domain Brain_Region
belongsToSubject Range Subject
belongsToSubject InverseOf hasRegions
hasRegions is ObjectProperty
hasRegions InverseOf belongsToSubject
volume is DataProperty
volume Characteristics Functional
volume Domain Brain_Region
volume Range decimal
z is DataProperty
z Characteristics Functional
z Domain Brain_Region
z Range decimal
Brain_Region is Class
Brain_Region EquivalentTo Subject
Thing is www.w3.org/2002/07/#
Thing DisjointWith Subject
Brainstem is Class
Brainstem SubClassOf Brain_Region
Cerebellum is Class
Cerebellum SubClassOf Brain_Region
Cerebrospinal_Fluid is Class
Cerebrospinal_Fluid SubClassOf Brain_Region
Cerebrum is Class
Cerebrum SubClassOf Brain_Region
Subject is Class
Subject EquivalentTo Brain_Region
Subject DisjointWith Brain_Region
www.w3.org/2002/07/# is Class
