is(double,Datatype) = 1.0
is(BFO_0000051,ObjectProperty) = 1.0
is(BFO_0000053,ObjectProperty) = 1.0
is(BFO_0000071,ObjectProperty) = 1.0
is(IAO_0000039,ObjectProperty) = 1.0
is(www.obofoundry.org/ro/ro.#,ObjectProperty) = 1.0
is(OBI_0001937,DataProperty) = 1.0
is(sti.jst.go.jp/id/200907078226767800,Class) = 1.0
is(J16.395C,sti.jst.go.jp/cde/nikkaji/) = 1.0
is(BFO_0000001,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(BFO_0000002,Class) = 1.0
SubClassOf(BFO_0000002,BFO_0000001) = 1.0
is(BFO_0000003,Class) = 1.0
SubClassOf(BFO_0000003,BFO_0000001) = 1.0
is(BFO_0000016,Class) = 1.0
is(BFO_0000031,Class) = 1.0
is(CHEBI_100241,Class) = 1.0
is(CHEBI_10127,Class) = 1.0
is(CHEBI_101278,Class) = 1.0
is(CHEBI_102166,Class) = 1.0
is(CHEBI_102265,Class) = 1.0
is(CHEBI_102484,Class) = 1.0
is(CHEBI_102524,Class) = 1.0
is(CHEBI_10607,Class) = 1.0
is(CHEBI_10650,Class) = 1.0
is(CHEBI_107736,Class) = 1.0
is(CHEBI_111762,Class) = 1.0
is(CHEBI_113451,Class) = 1.0
is(CHEBI_114786,Class) = 1.0
is(CHEBI_116735,Class) = 1.0
is(CHEBI_119486,Class) = 1.0
is(CHEBI_119915,Class) = 1.0
is(CHEBI_127342,Class) = 1.0
is(CHEBI_12777,Class) = 1.0
is(CHEBI_127780,Class) = 1.0
is(CHEBI_131389,Class) = 1.0
is(CHEBI_131527,Class) = 1.0
is(CHEBI_131762,Class) = 1.0
is(CHEBI_132106,Class) = 1.0
is(CHEBI_132153,Class) = 1.0
is(CHEBI_132943,Class) = 1.0
is(CHEBI_133009,Class) = 1.0
is(CHEBI_133354,Class) = 1.0
is(CHEBI_134718,Class) = 1.0
is(CHEBI_134760,Class) = 1.0
is(CHEBI_134761,Class) = 1.0
is(CHEBI_134772,Class) = 1.0
is(CHEBI_134802,Class) = 1.0
is(CHEBI_134808,Class) = 1.0
is(CHEBI_134813,Class) = 1.0
is(CHEBI_134902,Class) = 1.0
is(CHEBI_134908,Class) = 1.0
is(CHEBI_134966,Class) = 1.0
is(CHEBI_134991,Class) = 1.0
is(CHEBI_135042,Class) = 1.0
is(CHEBI_135047,Class) = 1.0
is(CHEBI_135051,Class) = 1.0
is(CHEBI_135074,Class) = 1.0
is(CHEBI_135078,Class) = 1.0
is(CHEBI_135096,Class) = 1.0
is(CHEBI_135163,Class) = 1.0
is(CHEBI_135169,Class) = 1.0
is(CHEBI_135183,Class) = 1.0
is(CHEBI_135200,Class) = 1.0
is(CHEBI_135205,Class) = 1.0
is(CHEBI_135207,Class) = 1.0
is(CHEBI_135222,Class) = 1.0
is(CHEBI_135231,Class) = 1.0
is(CHEBI_135276,Class) = 1.0
is(CHEBI_135288,Class) = 1.0
is(CHEBI_135340,Class) = 1.0
is(CHEBI_135361,Class) = 1.0
is(CHEBI_135372,Class) = 1.0
is(CHEBI_135379,Class) = 1.0
is(CHEBI_135402,Class) = 1.0
is(CHEBI_135424,Class) = 1.0
is(CHEBI_135433,Class) = 1.0
is(CHEBI_135455,Class) = 1.0
is(CHEBI_135520,Class) = 1.0
is(CHEBI_135538,Class) = 1.0
is(CHEBI_135573,Class) = 1.0
is(CHEBI_135574,Class) = 1.0
is(CHEBI_135581,Class) = 1.0
is(CHEBI_135590,Class) = 1.0
is(CHEBI_135600,Class) = 1.0
is(CHEBI_135611,Class) = 1.0
is(CHEBI_135624,Class) = 1.0
is(CHEBI_135635,Class) = 1.0
is(CHEBI_135685,Class) = 1.0
is(CHEBI_135724,Class) = 1.0
is(CHEBI_135728,Class) = 1.0
is(CHEBI_135760,Class) = 1.0
is(CHEBI_135772,Class) = 1.0
is(CHEBI_135787,Class) = 1.0
is(CHEBI_135791,Class) = 1.0
is(CHEBI_135862,Class) = 1.0
is(CHEBI_135888,Class) = 1.0
is(CHEBI_135901,Class) = 1.0
is(CHEBI_135907,Class) = 1.0
is(CHEBI_135922,Class) = 1.0
is(CHEBI_135933,Class) = 1.0
is(CHEBI_135934,Class) = 1.0
is(CHEBI_135935,Class) = 1.0
is(CHEBI_135974,Class) = 1.0
is(CHEBI_135976,Class) = 1.0
is(CHEBI_135986,Class) = 1.0
is(CHEBI_135989,Class) = 1.0
is(CHEBI_136012,Class) = 1.0
is(CHEBI_136014,Class) = 1.0
is(CHEBI_136018,Class) = 1.0
is(CHEBI_136050,Class) = 1.0
is(CHEBI_137426,Class) = 1.0
is(CHEBI_137881,Class) = 1.0
is(CHEBI_138721,Class) = 1.0
is(CHEBI_139123,Class) = 1.0
is(CHEBI_140503,Class) = 1.0
is(CHEBI_140618,Class) = 1.0
is(CHEBI_141517,Class) = 1.0
is(CHEBI_143858,Class) = 1.0
is(CHEBI_145232,Class) = 1.0
is(CHEBI_145791,Class) = 1.0
is(CHEBI_146185,Class) = 1.0
is(CHEBI_147675,Class) = 1.0
is(CHEBI_149226,Class) = 1.0
is(CHEBI_149773,Class) = 1.0
is(CHEBI_150326,Class) = 1.0
is(CHEBI_15354,Class) = 1.0
is(CHEBI_15356,Class) = 1.0
is(CHEBI_15361,Class) = 1.0
is(CHEBI_15365,Class) = 1.0
is(CHEBI_15366,Class) = 1.0
is(CHEBI_15367,Class) = 1.0
is(CHEBI_15377,Class) = 1.0
is(CHEBI_15407,Class) = 1.0
is(CHEBI_15409,Class) = 1.0
is(CHEBI_15428,Class) = 1.0
is(CHEBI_15440,Class) = 1.0
is(CHEBI_15544,Class) = 1.0
is(CHEBI_15551,Class) = 1.0
is(CHEBI_15611,Class) = 1.0
is(CHEBI_156496,Class) = 1.0
is(CHEBI_15676,Class) = 1.0
is(CHEBI_15741,Class) = 1.0
is(CHEBI_15765,Class) = 1.0
is(CHEBI_15854,Class) = 1.0
is(CHEBI_15882,Class) = 1.0
is(CHEBI_15891,Class) = 1.0
is(CHEBI_15939,Class) = 1.0
is(CHEBI_15940,Class) = 1.0
is(CHEBI_15956,Class) = 1.0
is(CHEBI_16010,Class) = 1.0
is(CHEBI_16109,Class) = 1.0
is(CHEBI_16113,Class) = 1.0
is(CHEBI_16125,Class) = 1.0
is(CHEBI_16134,Class) = 1.0
is(CHEBI_16150,Class) = 1.0
is(CHEBI_16163,Class) = 1.0
is(CHEBI_16199,Class) = 1.0
is(CHEBI_16236,Class) = 1.0
is(CHEBI_16240,Class) = 1.0
is(CHEBI_16335,Class) = 1.0
is(CHEBI_16336,Class) = 1.0
is(CHEBI_16347,Class) = 1.0
is(CHEBI_164200,Class) = 1.0
is(CHEBI_16436,Class) = 1.0
is(CHEBI_16449,Class) = 1.0
is(CHEBI_16454,Class) = 1.0
is(CHEBI_165211,Class) = 1.0
is(CHEBI_16526,Class) = 1.0
is(CHEBI_16684,Class) = 1.0
is(CHEBI_166975,Class) = 1.0
is(CHEBI_16709,Class) = 1.0
is(CHEBI_16714,Class) = 1.0
is(CHEBI_167450,Class) = 1.0
is(CHEBI_167626,Class) = 1.0
is(CHEBI_16794,Class) = 1.0
is(CHEBI_16796,Class) = 1.0
is(CHEBI_16811,Class) = 1.0
is(CHEBI_168398,Class) = 1.0
is(CHEBI_168426,Class) = 1.0
is(CHEBI_168721,Class) = 1.0
is(CHEBI_16914,Class) = 1.0
is(CHEBI_16962,Class) = 1.0
is(CHEBI_16997,Class) = 1.0
is(CHEBI_17015,Class) = 1.0
is(CHEBI_17026,Class) = 1.0
is(CHEBI_17045,Class) = 1.0
is(CHEBI_17151,Class) = 1.0
is(CHEBI_17154,Class) = 1.0
is(CHEBI_17234,Class) = 1.0
is(CHEBI_17246,Class) = 1.0
is(CHEBI_17252,Class) = 1.0
is(CHEBI_17263,Class) = 1.0
is(CHEBI_172944,Class) = 1.0
is(CHEBI_17303,Class) = 1.0
is(CHEBI_17309,Class) = 1.0
is(CHEBI_17347,Class) = 1.0
is(CHEBI_17376,Class) = 1.0
is(CHEBI_174175,Class) = 1.0
is(CHEBI_17439,Class) = 1.0
is(CHEBI_174690,Class) = 1.0
is(CHEBI_17486,Class) = 1.0
is(CHEBI_17548,Class) = 1.0
is(CHEBI_17579,Class) = 1.0
is(CHEBI_175901,Class) = 1.0
is(CHEBI_17594,Class) = 1.0
is(CHEBI_176233,Class) = 1.0
is(CHEBI_17650,Class) = 1.0
is(CHEBI_17698,Class) = 1.0
