is(TEMP#,ObjectProperty) = 1.0
is(GRO_0007000,Class) = 1.0
SubClassOf(GRO_0007000,GRO_0007139) = 1.0
is(GRO_0007001,Class) = 1.0
SubClassOf(GRO_0007001,GRO_0007040) = 1.0
is(GRO_0007027,Class) = 1.0
is(GRO_0007028,Class) = 1.0
SubClassOf(GRO_0007028,GRO_0007027) = 1.0
is(GRO_0007030,Class) = 1.0
is(GRO_0007032,Class) = 1.0
SubClassOf(GRO_0007032,GRO_0007030) = 1.0
is(GRO_0007040,Class) = 1.0
SubClassOf(GRO_0007040,GRO_0007199) = 1.0
is(GRO_0007042,Class) = 1.0
SubClassOf(GRO_0007042,GRO_0007141) = 1.0
is(GRO_0007043,Class) = 1.0
SubClassOf(GRO_0007043,GRO_0007139) = 1.0
is(GRO_0007044,Class) = 1.0
SubClassOf(GRO_0007044,GRO_0007140) = 1.0
is(GRO_0007045,Class) = 1.0
SubClassOf(GRO_0007045,GRO_0007141) = 1.0
is(GRO_0007046,Class) = 1.0
SubClassOf(GRO_0007046,GRO_0007141) = 1.0
is(GRO_0007047,Class) = 1.0
SubClassOf(GRO_0007047,GRO_0007139) = 1.0
is(GRO_0007048,Class) = 1.0
SubClassOf(GRO_0007048,GRO_0007139,) = 1.0
is(part_of_some_GRO_0007140,,TEMP#) = 1.0
is(part_of_only_GRO_0007139,TEMP#) = 1.0
is(GRO_0007049,Class) = 1.0
SubClassOf(GRO_0007049,GRO_0007139) = 1.0
is(GRO_0007050,Class) = 1.0
is(GRO_0007136,Class) = 1.0
SubClassOf(GRO_0007136,GRO_0007040) = 1.0
is(GRO_0007137,Class) = 1.0
is(GRO_0007138,Class) = 1.0
is(GRO_0007139,Class) = 1.0
DisjointWith(GRO_0007139,GRO_0007140) = 1.0
is(GRO_0007140,Class) = 1.0
DisjointWith(GRO_0007140,GRO_0007139) = 1.0
is(GRO_0007141,Class) = 1.0
is(GRO_0007142,Class) = 1.0
SubClassOf(GRO_0007142,GRO_0007047) = 1.0
is(GRO_0007144,Class) = 1.0
SubClassOf(GRO_0007144,GRO_0007049) = 1.0
is(GRO_0007145,Class) = 1.0
SubClassOf(GRO_0007145,GRO_0007139) = 1.0
is(GRO_0007146,Class) = 1.0
SubClassOf(GRO_0007146,GRO_0007139) = 1.0
is(GRO_0007148,Class) = 1.0
SubClassOf(GRO_0007148,GRO_0007140) = 1.0
is(GRO_0007149,Class) = 1.0
SubClassOf(GRO_0007149,GRO_0007148) = 1.0
is(GRO_0007150,Class) = 1.0
SubClassOf(GRO_0007150,GRO_0007148) = 1.0
is(GRO_0007151,Class) = 1.0
SubClassOf(GRO_0007151,GRO_0007044) = 1.0
is(GRO_0007152,Class) = 1.0
SubClassOf(GRO_0007152,GRO_0007042) = 1.0
is(GRO_0007154,Class) = 1.0
SubClassOf(GRO_0007154,GRO_0007042) = 1.0
is(GRO_0007157,Class) = 1.0
is(GRO_0007158,Class) = 1.0
is(GRO_0007159,Class) = 1.0
is(GRO_0007160,Class) = 1.0
is(GRO_0007161,Class) = 1.0
SubClassOf(GRO_0007161,GRO_0007138) = 1.0
is(GRO_0007162,Class) = 1.0
SubClassOf(GRO_0007162,GRO_0007138) = 1.0
is(GRO_0007163,Class) = 1.0
SubClassOf(GRO_0007163,GRO_0007138) = 1.0
is(GRO_0007164,Class) = 1.0
SubClassOf(GRO_0007164,GRO_0007138) = 1.0
is(GRO_0007165,Class) = 1.0
SubClassOf(GRO_0007165,GRO_0007138) = 1.0
is(GRO_0007166,Class) = 1.0
SubClassOf(GRO_0007166,GRO_0007138) = 1.0
is(GRO_0007167,Class) = 1.0
SubClassOf(GRO_0007167,GRO_0007138) = 1.0
is(GRO_0007168,Class) = 1.0
SubClassOf(GRO_0007168,GRO_0007137) = 1.0
is(GRO_0007169,Class) = 1.0
SubClassOf(GRO_0007169,GRO_0007137) = 1.0
is(GRO_0007170,Class) = 1.0
SubClassOf(GRO_0007170,GRO_0007137) = 1.0
is(GRO_0007171,Class) = 1.0
SubClassOf(GRO_0007171,GRO_0007137) = 1.0
is(GRO_0007172,Class) = 1.0
SubClassOf(GRO_0007172,GRO_0007137) = 1.0
is(GRO_0007173,Class) = 1.0
SubClassOf(GRO_0007173,GRO_0007137) = 1.0
is(GRO_0007174,Class) = 1.0
SubClassOf(GRO_0007174,GRO_0007137) = 1.0
is(GRO_0007175,Class) = 1.0
SubClassOf(GRO_0007175,GRO_0007137) = 1.0
is(GRO_0007176,Class) = 1.0
SubClassOf(GRO_0007176,GRO_0007137) = 1.0
is(GRO_0007177,Class) = 1.0
SubClassOf(GRO_0007177,GRO_0007137) = 1.0
is(GRO_0007178,Class) = 1.0
SubClassOf(GRO_0007178,GRO_0007160) = 1.0
is(GRO_0007179,Class) = 1.0
SubClassOf(GRO_0007179,GRO_0007160) = 1.0
is(GRO_0007180,Class) = 1.0
SubClassOf(GRO_0007180,GRO_0007160) = 1.0
is(GRO_0007181,Class) = 1.0
SubClassOf(GRO_0007181,GRO_0007160) = 1.0
is(GRO_0007182,Class) = 1.0
SubClassOf(GRO_0007182,GRO_0007160) = 1.0
is(GRO_0007183,Class) = 1.0
SubClassOf(GRO_0007183,GRO_0007160) = 1.0
is(GRO_0007184,Class) = 1.0
SubClassOf(GRO_0007184,GRO_0007160) = 1.0
is(GRO_0007185,Class) = 1.0
SubClassOf(GRO_0007185,GRO_0007160) = 1.0
is(GRO_0007186,Class) = 1.0
SubClassOf(GRO_0007186,GRO_0007160) = 1.0
is(GRO_0007187,Class) = 1.0
SubClassOf(GRO_0007187,GRO_0007160) = 1.0
is(GRO_0007188,Class) = 1.0
SubClassOf(GRO_0007188,GRO_0007160) = 1.0
is(GRO_0007189,Class) = 1.0
SubClassOf(GRO_0007189,GRO_0007157) = 1.0
is(GRO_0007190,Class) = 1.0
SubClassOf(GRO_0007190,GRO_0007157) = 1.0
is(GRO_0007191,Class) = 1.0
SubClassOf(GRO_0007191,GRO_0007000) = 1.0
is(GRO_0007192,Class) = 1.0
SubClassOf(GRO_0007192,GRO_0007000) = 1.0
is(GRO_0007193,Class) = 1.0
SubClassOf(GRO_0007193,GRO_0007000) = 1.0
is(GRO_0007195,Class) = 1.0
SubClassOf(GRO_0007195,GRO_0007157) = 1.0
is(GRO_0007196,Class) = 1.0
SubClassOf(GRO_0007196,GRO_0007157) = 1.0
is(GRO_0007197,Class) = 1.0
SubClassOf(GRO_0007197,GRO_0007157) = 1.0
is(GRO_0007198,Class) = 1.0
SubClassOf(GRO_0007198,GRO_0007157) = 1.0
