is(double,Datatype) = 1.0
is(BFO_0000051,ObjectProperty) = 1.0
is(BFO_0000053,ObjectProperty) = 1.0
is(BFO_0000071,ObjectProperty) = 1.0
is(IAO_0000039,ObjectProperty) = 1.0
is(RO_0000052,ObjectProperty) = 1.0
is(RO_0000079,ObjectProperty) = 1.0
Domain(RO_0000079,BFO_0000034) = 1.0
InverseOf(RO_0000079,RO_0000085) = 1.0
is(RO_0000085,ObjectProperty) = 1.0
InverseOf(RO_0000085,RO_0000079) = 1.0
is(RO_0002573,ObjectProperty) = 1.0
is(www.obofoundry.org/ro/ro.#,ObjectProperty) = 1.0
is(OBI_0001937,DataProperty) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(//www.wikidata.org/wiki/,Class) = 1.0
is(Thing,www.w3.org/2002/07/#) = 1.0
is(BFO_0000016,Class) = 1.0
is(BFO_0000034,Class) = 1.0
SubClassOf(BFO_0000034,BFO_0000016) = 1.0
is(CHEBI_100241,Class) = 1.0
is(CHEBI_10093,Class) = 1.0
is(CHEBI_10101,Class) = 1.0
is(CHEBI_10112,Class) = 1.0
is(CHEBI_101278,Class) = 1.0
is(CHEBI_102265,Class) = 1.0
is(CHEBI_102524,Class) = 1.0
is(CHEBI_10607,Class) = 1.0
is(CHEBI_10650,Class) = 1.0
is(CHEBI_107736,Class) = 1.0
is(CHEBI_110423,Class) = 1.0
is(CHEBI_113451,Class) = 1.0
is(CHEBI_114786,Class) = 1.0
is(CHEBI_116735,Class) = 1.0
is(CHEBI_119573,Class) = 1.0
is(CHEBI_119915,Class) = 1.0
is(CHEBI_125,Class) = 1.0
is(CHEBI_12777,Class) = 1.0
is(CHEBI_131389,Class) = 1.0
is(CHEBI_131762,Class) = 1.0
is(CHEBI_132230,Class) = 1.0
is(CHEBI_133354,Class) = 1.0
is(CHEBI_133748,Class) = 1.0
is(CHEBI_134760,Class) = 1.0
is(CHEBI_134813,Class) = 1.0
is(CHEBI_134891,Class) = 1.0
is(CHEBI_134965,Class) = 1.0
is(CHEBI_134972,Class) = 1.0
is(CHEBI_135014,Class) = 1.0
is(CHEBI_135047,Class) = 1.0
is(CHEBI_135136,Class) = 1.0
is(CHEBI_135235,Class) = 1.0
is(CHEBI_135306,Class) = 1.0
is(CHEBI_135361,Class) = 1.0
is(CHEBI_135364,Class) = 1.0
is(CHEBI_135419,Class) = 1.0
is(CHEBI_135424,Class) = 1.0
is(CHEBI_135433,Class) = 1.0
is(CHEBI_135451,Class) = 1.0
is(CHEBI_135492,Class) = 1.0
is(CHEBI_135506,Class) = 1.0
is(CHEBI_135538,Class) = 1.0
is(CHEBI_135572,Class) = 1.0
is(CHEBI_135692,Class) = 1.0
is(CHEBI_135756,Class) = 1.0
is(CHEBI_135802,Class) = 1.0
is(CHEBI_135885,Class) = 1.0
is(CHEBI_135935,Class) = 1.0
is(CHEBI_135939,Class) = 1.0
is(CHEBI_136014,Class) = 1.0
is(CHEBI_136609,Class) = 1.0
is(CHEBI_138824,Class) = 1.0
is(CHEBI_140503,Class) = 1.0
is(CHEBI_140618,Class) = 1.0
is(CHEBI_141517,Class) = 1.0
is(CHEBI_145232,Class) = 1.0
is(CHEBI_145791,Class) = 1.0
is(CHEBI_149226,Class) = 1.0
is(CHEBI_15347,Class) = 1.0
is(CHEBI_15354,Class) = 1.0
is(CHEBI_15365,Class) = 1.0
is(CHEBI_15366,Class) = 1.0
is(CHEBI_15367,Class) = 1.0
is(CHEBI_15377,Class) = 1.0
is(CHEBI_15384,Class) = 1.0
is(CHEBI_15407,Class) = 1.0
is(CHEBI_15409,Class) = 1.0
is(CHEBI_15428,Class) = 1.0
is(CHEBI_15440,Class) = 1.0
is(CHEBI_15443,Class) = 1.0
is(CHEBI_15611,Class) = 1.0
is(CHEBI_15640,Class) = 1.0
is(CHEBI_156496,Class) = 1.0
is(CHEBI_15676,Class) = 1.0
is(CHEBI_157175,Class) = 1.0
is(CHEBI_15741,Class) = 1.0
is(CHEBI_15765,Class) = 1.0
is(CHEBI_15854,Class) = 1.0
is(CHEBI_15882,Class) = 1.0
is(CHEBI_15940,Class) = 1.0
is(CHEBI_15956,Class) = 1.0
is(CHEBI_16125,Class) = 1.0
is(CHEBI_16134,Class) = 1.0
is(CHEBI_16150,Class) = 1.0
is(CHEBI_16189,Class) = 1.0
is(CHEBI_16199,Class) = 1.0
is(CHEBI_16236,Class) = 1.0
is(CHEBI_16240,Class) = 1.0
is(CHEBI_16336,Class) = 1.0
is(CHEBI_16347,Class) = 1.0
is(CHEBI_164200,Class) = 1.0
is(CHEBI_16436,Class) = 1.0
is(CHEBI_16454,Class) = 1.0
is(CHEBI_16684,Class) = 1.0
is(CHEBI_166975,Class) = 1.0
is(CHEBI_16709,Class) = 1.0
is(CHEBI_16714,Class) = 1.0
is(CHEBI_16731,Class) = 1.0
is(CHEBI_167626,Class) = 1.0
is(CHEBI_16794,Class) = 1.0
