is(double,Datatype) = 1.0
is(BFO_0000053,ObjectProperty) = 1.0
is(BFO_0000071,ObjectProperty) = 1.0
is(IAO_0000039,ObjectProperty) = 1.0
is(www.obofoundry.org/ro/ro.#,ObjectProperty) = 1.0
is(OBI_0001937,DataProperty) = 1.0
is(CHEBI_100241,Class) = 1.0
is(CHEBI_10082,Class) = 1.0
is(CHEBI_10119,Class) = 1.0
is(CHEBI_10127,Class) = 1.0
is(CHEBI_101278,Class) = 1.0
is(CHEBI_102524,Class) = 1.0
is(CHEBI_10607,Class) = 1.0
is(CHEBI_10650,Class) = 1.0
is(CHEBI_107736,Class) = 1.0
is(CHEBI_111762,Class) = 1.0
is(CHEBI_113451,Class) = 1.0
is(CHEBI_114786,Class) = 1.0
is(CHEBI_116278,Class) = 1.0
is(CHEBI_116735,Class) = 1.0
is(CHEBI_119915,Class) = 1.0
is(CHEBI_125,Class) = 1.0
is(CHEBI_125354,Class) = 1.0
is(CHEBI_12777,Class) = 1.0
is(CHEBI_131389,Class) = 1.0
is(CHEBI_131527,Class) = 1.0
is(CHEBI_131762,Class) = 1.0
is(CHEBI_132106,Class) = 1.0
is(CHEBI_132153,Class) = 1.0
is(CHEBI_132268,Class) = 1.0
is(CHEBI_132943,Class) = 1.0
is(CHEBI_133013,Class) = 1.0
is(CHEBI_133326,Class) = 1.0
is(CHEBI_133354,Class) = 1.0
is(CHEBI_134689,Class) = 1.0
is(CHEBI_134700,Class) = 1.0
is(CHEBI_134714,Class) = 1.0
is(CHEBI_134726,Class) = 1.0
is(CHEBI_134745,Class) = 1.0
is(CHEBI_134750,Class) = 1.0
is(CHEBI_134751,Class) = 1.0
is(CHEBI_134758,Class) = 1.0
is(CHEBI_134761,Class) = 1.0
is(CHEBI_134779,Class) = 1.0
is(CHEBI_134966,Class) = 1.0
is(CHEBI_134996,Class) = 1.0
is(CHEBI_135005,Class) = 1.0
is(CHEBI_135032,Class) = 1.0
is(CHEBI_135047,Class) = 1.0
is(CHEBI_135082,Class) = 1.0
is(CHEBI_135091,Class) = 1.0
is(CHEBI_135193,Class) = 1.0
is(CHEBI_135207,Class) = 1.0
is(CHEBI_135222,Class) = 1.0
is(CHEBI_135276,Class) = 1.0
is(CHEBI_135312,Class) = 1.0
is(CHEBI_135361,Class) = 1.0
is(CHEBI_135406,Class) = 1.0
is(CHEBI_135419,Class) = 1.0
