is(double,Datatype) = 1.0
is(BFO_0000053,ObjectProperty) = 1.0
is(BFO_0000071,ObjectProperty) = 1.0
is(IAO_0000039,ObjectProperty) = 1.0
is(RO_0000052,ObjectProperty) = 1.0
is(www.obofoundry.org/ro/ro.#,ObjectProperty) = 1.0
is(OBI_0001937,DataProperty) = 1.0
is(APOLLO_SV_00000145,Class) = 1.0
SubClassOf(APOLLO_SV_00000145,BFO_0000016) = 1.0
is(APOLLO_SV_00000335,Class) = 1.0
SubClassOf(APOLLO_SV_00000335,APOLLO_SV_00000145) = 1.0
is(APOLLO_SV_00000336,Class) = 1.0
SubClassOf(APOLLO_SV_00000336,APOLLO_SV_00000145) = 1.0
is(BFO_0000016,Class) = 1.0
is(BFO_0000020,Class) = 1.0
is(BFO_0000034,Class) = 1.0
is(CHEBI_100241,Class) = 1.0
is(CHEBI_10082,Class) = 1.0
is(CHEBI_10093,Class) = 1.0
is(CHEBI_10124,Class) = 1.0
is(CHEBI_101278,Class) = 1.0
is(CHEBI_102265,Class) = 1.0
is(CHEBI_102484,Class) = 1.0
is(CHEBI_10607,Class) = 1.0
is(CHEBI_107736,Class) = 1.0
is(CHEBI_113451,Class) = 1.0
is(CHEBI_114786,Class) = 1.0
is(CHEBI_116735,Class) = 1.0
is(CHEBI_119915,Class) = 1.0
is(CHEBI_125,Class) = 1.0
is(CHEBI_127342,Class) = 1.0
is(CHEBI_12777,Class) = 1.0
is(CHEBI_131389,Class) = 1.0
is(CHEBI_131527,Class) = 1.0
is(CHEBI_131762,Class) = 1.0
is(CHEBI_132106,Class) = 1.0
is(CHEBI_132153,Class) = 1.0
is(CHEBI_132943,Class) = 1.0
is(CHEBI_133354,Class) = 1.0
is(CHEBI_134719,Class) = 1.0
is(CHEBI_134760,Class) = 1.0
is(CHEBI_134761,Class) = 1.0
is(CHEBI_134806,Class) = 1.0
is(CHEBI_134813,Class) = 1.0
is(CHEBI_134814,Class) = 1.0
is(CHEBI_134841,Class) = 1.0
is(CHEBI_134855,Class) = 1.0
is(CHEBI_134863,Class) = 1.0
is(CHEBI_134890,Class) = 1.0
is(CHEBI_134898,Class) = 1.0
is(CHEBI_134906,Class) = 1.0
is(CHEBI_134975,Class) = 1.0
is(CHEBI_135047,Class) = 1.0
is(CHEBI_135096,Class) = 1.0
is(CHEBI_135132,Class) = 1.0
is(CHEBI_135136,Class) = 1.0
