is(www.w3.org/2000/01/-schema#,Datatype) = 1.0
is(RO_0002452,ObjectProperty) = 1.0
is(hasInterferenceValue,DataProperty) = 1.0
is(books/?id=aQtjAAAAMAAJ,Class) = 1.0
is(8e675d5b-ab7e-435f-a8bb-2fbeb5e5352c,Class) = 1.0
is(10050464,Class) = 1.0
SubClassOf(10050464,D013850) = 1.0
is(//www.symposion.com/ijt/ijtc0402.htm#Guidance%20for%20the%20management,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(<https,Class) = 1.0
is(autobiographyofa00lind,Class) = 1.0
is(jamapediatrics.2017.5440,Class) = 1.0
is(cncy.22159,Class) = 1.0
is(jbmr.2272,Class) = 1.0
is(jia2.25338,Class) = 1.0
is(s00787-019-01372-y,Class) = 1.0
is(s10508-007-9285-x,Class) = 1.0
is(s10508-019-01507-x,Class) = 1.0
is(s10815-019-01504-y,Class) = 1.0
is(s11126-019-09653-0,Class) = 1.0
