file,classes,properties,combined
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University0.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University1.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University10.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University11.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University12.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University13.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University14.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University15.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University16.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University17.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University18.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University19.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University2.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University20.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University21.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University22.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University23.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University24.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University25.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University26.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University27.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University28.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University29.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University3.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University30.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University31.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University32.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University33.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University34.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University35.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University36.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University37.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University38.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University39.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University4.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University40.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University41.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University42.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University43.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University44.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University45.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University46.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University47.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University48.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University49.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University5.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University50.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University51.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University52.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University53.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University54.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University55.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University56.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University57.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University58.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University59.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University6.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University60.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University61.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University62.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University63.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University64.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University65.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University66.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University67.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University68.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University69.owl,43,31,74
/media/nvme7n1/lniederberger/models/GLaMoR/GLaMoR-DataPipeline/data/lubm_c/University7.owl,43,31,74
